time,dissolved_o2,primary_production
2022-06-01,281.69223,26.157421
2022-06-02,279.61392,25.50102
2022-06-03,278.3031,24.909336
2022-06-04,277.16263,23.227533
2022-06-05,274.47348,23.469288
2022-06-06,272.29395,22.8787
2022-06-07,270.77835,22.76049
2022-06-08,269.2447,23.75054
2022-06-09,267.3787,22.970852
2022-06-10,266.22958,23.745325
2022-06-11,264.7714,23.687307
2022-06-12,263.96613,21.937042
2022-06-13,262.80954,22.038136
2022-06-14,260.44742,24.004618
2022-06-15,259.34286,22.621618
2022-06-16,258.41483,23.699759
2022-06-17,258.01114,25.880718
2022-06-18,256.99142,26.250975
2022-06-19,256.0352,24.929386
2022-06-20,254.86089,25.972235
2022-06-21,254.23576,27.8672
2022-06-22,255.74615,24.042011
2022-06-23,258.4761,25.022125
2022-06-24,258.3484,25.675303
2022-06-25,257.59787,25.851332
2022-06-26,257.23193,26.023638
2022-06-27,256.86823,25.68884
2022-06-28,256.153,25.87637
2022-06-29,255.10844,28.063751
2022-06-30,254.56505,28.303522
2022-07-01,253.44537,27.694437
2022-07-02,252.81247,26.82862
2022-07-03,252.89696,25.29979
2022-07-04,252.00864,25.90887
2022-07-05,251.02176,27.373596
2022-07-06,249.79303,28.140564
2022-07-07,248.3764,27.070587
2022-07-08,246.83363,26.096329
2022-07-09,245.78401,27.752626
2022-07-10,245.95938,26.458046
2022-07-11,246.14125,25.23568
2022-07-12,245.83643,26.349312
2022-07-13,245.5745,27.82578
2022-07-14,245.22833,26.984903
2022-07-15,244.96667,27.376005
2022-07-16,244.64084,27.111015
2022-07-17,243.72728,26.732506
2022-07-18,244.62132,25.977665
2022-07-19,245.78204,25.702652
2022-07-20,245.42923,26.120998
2022-07-21,244.7191,25.620857
2022-07-22,244.43225,25.922132
2022-07-23,244.26622,25.884897
2022-07-24,243.82047,27.152468
2022-07-25,243.12086,26.71174
2022-07-26,242.59132,26.981539
2022-07-27,242.05435,27.773008
2022-07-28,241.68782,26.784225
2022-07-29,241.02954,25.571302
2022-07-30,240.03181,25.187222
2022-07-31,238.98505,24.988804
2022-08-01,238.06242,25.708504
2022-08-02,237.25844,26.095829
2022-08-03,236.7462,26.452547
2022-08-04,236.40489,27.572908
2022-08-05,236.16512,28.995861
2022-08-06,235.81415,27.71731
2022-08-07,235.94478,25.84572
2022-08-08,236.09985,26.02943
2022-08-09,235.77216,25.508741
2022-08-10,235.4915,25.44696
2022-08-11,235.85597,26.106031
2022-08-12,235.66515,27.194962
2022-08-13,235.50111,28.57811
2022-08-14,235.3965,27.634386
2022-08-15,235.09796,25.871264
2022-08-16,234.72906,26.056602
2022-08-17,234.16191,26.203897
2022-08-18,233.87482,25.756231
2022-08-19,233.36998,24.485287
2022-08-20,233.03564,24.017937
2022-08-21,232.61797,22.436262
2022-08-22,231.82611,21.75303
2022-08-23,231.16801,21.821579
2022-08-24,230.94766,21.562672
2022-08-25,231.01361,22.280876
2022-08-26,230.69693,23.447985
2022-08-27,230.4885,23.643614
2022-08-28,230.43558,25.185617
2022-08-29,230.3169,26.113878
2022-08-30,230.29292,25.842491
2022-08-31,229.88509,24.048384
2022-09-01,229.26003,24.275595
2022-09-02,230.62286,23.715418
2022-09-03,231.53572,24.141191
2022-09-04,232.84465,23.73726
2022-09-05,235.08301,22.930496
2022-09-06,237.3785,22.590977
2022-09-07,238.55171,22.24791
2022-09-08,238.63298,23.752821
2022-09-09,238.8684,24.276323
2022-09-10,239.40503,24.076931
2022-09-11,239.81871,23.555126
2022-09-12,239.97133,22.685553
2022-09-13,240.40271,22.315922
2022-09-14,241.47578,22.563873
2022-09-15,242.27412,23.964071
2022-09-16,243.00653,24.260448
2022-09-17,243.0158,23.47374
2022-09-18,242.82886,24.130564
2022-09-19,243.78981,24.467306
2022-09-20,244.13596,24.47706
2022-09-21,244.72714,22.902683
2022-09-22,245.2845,21.635984
