time,ph
2022-01-01,8.316492
2022-01-02,8.316336
2022-01-03,8.315991
2022-01-04,8.314793
2022-01-05,8.314948
2022-01-06,8.313359
2022-01-07,8.314301
2022-01-08,8.315558
2022-01-09,8.314638
2022-01-10,8.31501
2022-01-11,8.31669
2022-01-12,8.31437
2022-01-13,8.313986
2022-01-14,8.314626
2022-01-15,8.309147
2022-01-16,8.308423
2022-01-17,8.309369
2022-01-18,8.306755
2022-01-19,8.305984
2022-01-20,8.307127
2022-01-21,8.306757
2022-01-22,8.307737
2022-01-23,8.309241
2022-01-24,8.31065
2022-01-25,8.312505
2022-01-26,8.313786
2022-01-27,8.314532
2022-01-28,8.314426
2022-01-29,8.314463
2022-01-30,8.3159075
2022-01-31,8.314631
2022-02-01,8.313885
2022-02-02,8.313022
2022-02-03,8.313794
2022-02-04,8.315005
2022-02-05,8.312695
2022-02-06,8.3150015
2022-02-07,8.315548
2022-02-08,8.316127
2022-02-09,8.315269
2022-02-10,8.314405
2022-02-11,8.315312
2022-02-12,8.31569
2022-02-13,8.316441
2022-02-14,8.316228
2022-02-15,8.316188
2022-02-16,8.31878
2022-02-17,8.320867
2022-02-18,8.320093
2022-02-19,8.319955
2022-02-20,8.319737
2022-02-21,8.317651
2022-02-22,8.317656
2022-02-23,8.316613
2022-02-24,8.31771
2022-02-25,8.317218
2022-02-26,8.316394
2022-02-27,8.317253
2022-02-28,8.3182335
2022-03-01,8.316528
2022-03-02,8.316576
2022-03-03,8.316839
2022-03-04,8.313781
2022-03-05,8.3132715
2022-03-06,8.314808
2022-03-07,8.314353
2022-03-08,8.313609
2022-03-09,8.315829
2022-03-10,8.317847
2022-03-11,8.315223
2022-03-12,8.3137
2022-03-13,8.311921
2022-03-14,8.31184
2022-03-15,8.310512
2022-03-16,8.31166
2022-03-17,8.314401
2022-03-18,8.314507
2022-03-19,8.310757
2022-03-20,8.303163
2022-03-21,8.300064
2022-03-22,8.299543
2022-03-23,8.298329
2022-03-24,8.296211
2022-03-25,8.29726
2022-03-26,8.297191
2022-03-27,8.29713
2022-03-28,8.294637
2022-03-29,8.29726
2022-03-30,8.2949
2022-03-31,8.297525
2022-04-01,8.29994
2022-04-02,8.297961
2022-04-03,8.295663
2022-04-04,8.295929
2022-04-05,8.297113
2022-04-06,8.294138
2022-04-07,8.294392
