time,salinity_psu
2021-01-01,18.498812
2021-01-02,18.497107
2021-01-03,18.499231
2021-01-04,18.498491
2021-01-05,18.497162
2021-01-06,18.495749
2021-01-07,18.497147
2021-01-08,18.497303
2021-01-09,18.493063
2021-01-10,18.490177
2021-01-11,18.488846
2021-01-12,18.476908
2021-01-13,18.493635
2021-01-14,18.489231
2021-01-15,18.49119
2021-01-16,18.492872
2021-01-17,18.504465
2021-01-18,18.508188
2021-01-19,18.509377
2021-01-20,18.50698
2021-01-21,18.515059
2021-01-22,18.515743
2021-01-23,18.51135
2021-01-24,18.511385
2021-01-25,18.511547
2021-01-26,18.514294
2021-01-27,18.515568
2021-01-28,18.52551
2021-01-29,18.525179
2021-01-30,18.520676
2021-01-31,18.528976
2021-02-01,18.528097
2021-02-02,18.533918
2021-02-03,18.527252
2021-02-04,18.53022
2021-02-05,18.53449
2021-02-06,18.537848
2021-02-07,18.537304
2021-02-08,18.525372
2021-02-09,18.53336
2021-02-10,18.531616
2021-02-11,18.526318
2021-02-12,18.533976
2021-02-13,18.541664
2021-02-14,18.548412
2021-02-15,18.54716
2021-02-16,18.549553
2021-02-17,18.550407
2021-02-18,18.550665
2021-02-19,18.556982
2021-02-20,18.562872
2021-02-21,18.556192
2021-02-22,18.547083
2021-02-23,18.54048
2021-02-24,18.54313
2021-02-25,18.539597
2021-02-26,18.528324
2021-02-27,18.52416
2021-02-28,18.532928
2021-03-01,18.529428
2021-03-02,18.53037
2021-03-03,18.532978
2021-03-04,18.529083
2021-03-05,18.52396
2021-03-06,18.535034
2021-03-07,18.540468
2021-03-08,18.534946
2021-03-09,18.533554
2021-03-10,18.535107
2021-03-11,18.53994
2021-03-12,18.546612
2021-03-13,18.53935
2021-03-14,18.520144
2021-03-15,18.51453
2021-03-16,18.510612
2021-03-17,18.506037
2021-03-18,18.507244
2021-03-19,18.50326
2021-03-20,18.493984
2021-03-21,18.490967
2021-03-22,18.489798
2021-03-23,18.49616
2021-03-24,18.495815
2021-03-25,18.492601
2021-03-26,18.489233
2021-03-27,18.48304
2021-03-28,18.472496
2021-03-29,18.47873
2021-03-30,18.473888
2021-03-31,18.471619
2021-04-01,18.463985
2021-04-02,18.454496
