time,sea_level_m
2021-01-01,0.3256008
2021-01-02,0.32619634
2021-01-03,0.3262545
2021-01-04,0.32598746
2021-01-05,0.32596573
2021-01-06,0.3263399
2021-01-07,0.32730544
2021-01-08,0.33029395
2021-01-09,0.3345953
2021-01-10,0.33776602
2021-01-11,0.34543535
2021-01-12,0.35716495
2021-01-13,0.36190572
2021-01-14,0.3631099
2021-01-15,0.36636263
2021-01-16,0.36507028
2021-01-17,0.36521065
2021-01-18,0.36267227
2021-01-19,0.36091286
2021-01-20,0.35816514
2021-01-21,0.35725817
2021-01-22,0.355727
2021-01-23,0.3555678
2021-01-24,0.35657427
2021-01-25,0.35899365
2021-01-26,0.36038122
2021-01-27,0.36176547
2021-01-28,0.35745436
2021-01-29,0.35499102
2021-01-30,0.35511556
2021-01-31,0.35468596
2021-02-01,0.35430062
2021-02-02,0.3549292
2021-02-03,0.35397983
2021-02-04,0.3518563
2021-02-05,0.35146487
2021-02-06,0.3492198
2021-02-07,0.3480145
2021-02-08,0.34771955
2021-02-09,0.34725624
2021-02-10,0.34789124
2021-02-11,0.34768564
2021-02-12,0.34684387
2021-02-13,0.3426217
2021-02-14,0.33845302
2021-02-15,0.33606213
2021-02-16,0.33096427
2021-02-17,0.32508352
2021-02-18,0.3219575
2021-02-19,0.32029298
2021-02-20,0.31819186
2021-02-21,0.3161701
2021-02-22,0.31408188
2021-02-23,0.3121611
2021-02-24,0.30929762
2021-02-25,0.3057979
2021-02-26,0.30403593
2021-02-27,0.30286327
2021-02-28,0.30237132
2021-03-01,0.30166945
2021-03-02,0.2994426
2021-03-03,0.29645443
2021-03-04,0.29472536
2021-03-05,0.29417172
2021-03-06,0.29450092
2021-03-07,0.2934222
2021-03-08,0.29282954
2021-03-09,0.29324234
2021-03-10,0.2919998
2021-03-11,0.29089764
2021-03-12,0.28679493
2021-03-13,0.2852606
2021-03-14,0.28532028
2021-03-15,0.28555483
2021-03-16,0.28878927
2021-03-17,0.29230273
2021-03-18,0.2959114
2021-03-19,0.29763097
2021-03-20,0.29984134
2021-03-21,0.30092445
2021-03-22,0.30461618
2021-03-23,0.30734822
2021-03-24,0.30921564
2021-03-25,0.3067076
2021-03-26,0.30674642
2021-03-27,0.30708882
2021-03-28,0.3068481
2021-03-29,0.30664507
2021-03-30,0.30865106
2021-03-31,0.30588946
2021-04-01,0.30529672
2021-04-02,0.3059556
2021-04-03,0.3093977
2021-04-04,0.3134288
2021-04-05,0.3177298
2021-04-06,0.32014936
2021-04-07,0.3217714
2021-04-08,0.32143742
2021-04-09,0.32132146
2021-04-10,0.31965628
2021-04-11,0.31930956
2021-04-12,0.3220553
2021-04-13,0.32140553
2021-04-14,0.32153168
2021-04-15,0.32078972
2021-04-16,0.32065216
2021-04-17,0.32171988
2021-04-18,0.32276708
2021-04-19,0.32440513
2021-04-20,0.3304895
2021-04-21,0.33067536
2021-04-22,0.33105022
2021-04-23,0.3320795
2021-04-24,0.33183986
2021-04-25,0.33185026
2021-04-26,0.33255506
2021-04-27,0.3331875
2021-04-28,0.33306128
2021-04-29,0.33204594
2021-04-30,0.33227617
2021-05-01,0.3325791
2021-05-02,0.33333695
2021-05-03,0.3338727
2021-05-04,0.3338167
2021-05-05,0.3337762
2021-05-06,0.3339665
2021-05-07,0.33508033
2021-05-08,0.33614945
2021-05-09,0.3400099
2021-05-10,0.33985952
2021-05-11,0.3390659
2021-05-12,0.33929643
2021-05-13,0.33954263
2021-05-14,0.3404531
2021-05-15,0.34159622
2021-05-16,0.34354725
2021-05-17,0.34661472
2021-05-18,0.34881866
2021-05-19,0.35275507
2021-05-20,0.35511965
2021-05-21,0.3559689
2021-05-22,0.35769093
2021-05-23,0.36188138
2021-05-24,0.36489436
2021-05-25,0.3652633
2021-05-26,0.3660633
2021-05-27,0.36624324
2021-05-28,0.3668846
2021-05-29,0.36923066
2021-05-30,0.37241334
2021-05-31,0.37415165
2021-06-01,0.3781088
2021-06-02,0.38179803
2021-06-03,0.38403407
2021-06-04,0.38658443
2021-06-05,0.38780323
2021-06-06,0.38975242
2021-06-07,0.3919751
2021-06-08,0.3936385
2021-06-09,0.39538267
2021-06-10,0.39630052
2021-06-11,0.3967535
2021-06-12,0.39713195
2021-06-13,0.3974647
2021-06-14,0.39859647
2021-06-15,0.40267527
2021-06-16,0.40595022
2021-06-17,0.4125763
2021-06-18,0.41867024
2021-06-19,0.4203884
2021-06-20,0.41946316
2021-06-21,0.42055523
2021-06-22,0.42260593
2021-06-23,0.42424047
2021-06-24,0.42647702
2021-06-25,0.43024194
2021-06-26,0.43157068
2021-06-27,0.43196118
2021-06-28,0.43181834
2021-06-29,0.4320789
2021-06-30,0.43262374
2021-07-01,0.43241793
2021-07-02,0.43152967
2021-07-03,0.43092933
2021-07-04,0.43774796
2021-07-05,0.4488
2021-07-06,0.45337176
2021-07-07,0.45388782
2021-07-08,0.45420974
2021-07-09,0.45255184
2021-07-10,0.45110613
2021-07-11,0.44986483
2021-07-12,0.44857088
2021-07-13,0.4474564
2021-07-14,0.44577426
2021-07-15,0.44479603
2021-07-16,0.4430934
2021-07-17,0.44157302
2021-07-18,0.4401364
2021-07-19,0.43874466
2021-07-20,0.4376676
2021-07-21,0.4353193
2021-07-22,0.4320615
2021-07-23,0.4288474
2021-07-24,0.42470583
2021-07-25,0.42082474
2021-07-26,0.41871965
2021-07-27,0.42006466
2021-07-28,0.41879544
2021-07-29,0.41754815
2021-07-30,0.41574603
2021-07-31,0.41487622
2021-08-01,0.41351348
2021-08-02,0.41219127
2021-08-03,0.41213343
2021-08-04,0.41042954
2021-08-05,0.40978286
2021-08-06,0.40835488
2021-08-07,0.40885317
2021-08-08,0.4075766
2021-08-09,0.40892193
2021-08-10,0.41329235
2021-08-11,0.41762915
2021-08-12,0.4204354
2021-08-13,0.4213374
2021-08-14,0.41800582
2021-08-15,0.41325203
2021-08-16,0.41137108
2021-08-17,0.40792775
2021-08-18,0.4061371
2021-08-19,0.40400878
2021-08-20,0.39960387
2021-08-21,0.39487046
2021-08-22,0.39113432
2021-08-23,0.3881786
2021-08-24,0.38519242
2021-08-25,0.38160026
2021-08-26,0.38067153
2021-08-27,0.37915295
2021-08-28,0.378298
2021-08-29,0.37908742
2021-08-30,0.37743932
2021-08-31,0.37435058
2021-09-01,0.3719126
2021-09-02,0.3710689
2021-09-03,0.36731708
2021-09-04,0.36370748
2021-09-05,0.36031502
2021-09-06,0.35173643
2021-09-07,0.34229589
2021-09-08,0.3358055
2021-09-09,0.33048555
2021-09-10,0.3267724
2021-09-11,0.32444295
2021-09-12,0.32313016
2021-09-13,0.32237217
2021-09-14,0.32191393
2021-09-15,0.32165244
2021-09-16,0.32253468
2021-09-17,0.32410762
2021-09-18,0.3252835
2021-09-19,0.3280755
2021-09-20,0.32894415
2021-09-21,0.33143753
2021-09-22,0.3307316
2021-09-23,0.3317717
2021-09-24,0.33214742
2021-09-25,0.3336082
2021-09-26,0.33219796
2021-09-27,0.33182162
2021-09-28,0.33018467
2021-09-29,0.3262797
2021-09-30,0.32397404
2021-10-01,0.32074106
2021-10-02,0.3166704
2021-10-03,0.3139077
2021-10-04,0.31141254
2021-10-05,0.30988112
2021-10-06,0.30716422
2021-10-07,0.30223387
2021-10-08,0.29461825
2021-10-09,0.28972962
2021-10-10,0.28528893
2021-10-11,0.2818269
2021-10-12,0.2809366
2021-10-13,0.2861085
2021-10-14,0.28204653
2021-10-15,0.27956003
2021-10-16,0.277994
2021-10-17,0.27754715
2021-10-18,0.27567765
2021-10-19,0.2739076
2021-10-20,0.27121177
2021-10-21,0.26902708
2021-10-22,0.26876143
2021-10-23,0.26940572
2021-10-24,0.27186388
2021-10-25,0.26958555
2021-10-26,0.26530913
2021-10-27,0.26277784
2021-10-28,0.2612782
2021-10-29,0.25936317
2021-10-30,0.25798845
2021-10-31,0.25707477
2021-11-01,0.25821784
2021-11-02,0.2608818
2021-11-03,0.26480675
2021-11-04,0.26733306
2021-11-05,0.26810992
2021-11-06,0.27041212
2021-11-07,0.26999956
2021-11-08,0.2709976
2021-11-09,0.27455056
2021-11-10,0.2761909
2021-11-11,0.272653
2021-11-12,0.27143785
2021-11-13,0.27153677
2021-11-14,0.2719293
2021-11-15,0.27220666
2021-11-16,0.26868078
2021-11-17,0.26529557
2021-11-18,0.26518977
2021-11-19,0.26504079
2021-11-20,0.2663074
2021-11-21,0.26868322
2021-11-22,0.271035
2021-11-23,0.2754385
2021-11-24,0.27966505
2021-11-25,0.27939394
2021-11-26,0.28082442
2021-11-27,0.28557736
2021-11-28,0.29114848
2021-11-29,0.2984385
2021-11-30,0.31026053
2021-12-01,0.31612226
2021-12-02,0.31836143
2021-12-03,0.3227771
2021-12-04,0.33030072
2021-12-05,0.33477557
2021-12-06,0.33765227
2021-12-07,0.34232053
2021-12-08,0.3472246
2021-12-09,0.34880057
2021-12-10,0.35176075
2021-12-11,0.3549209
2021-12-12,0.3576513
2021-12-13,0.3607063
2021-12-14,0.3618252
2021-12-15,0.36355433
2021-12-16,0.36627474
2021-12-17,0.36771512
2021-12-18,0.3685179
2021-12-19,0.3662733
2021-12-20,0.36698627
2021-12-21,0.37214005
2021-12-22,0.3722891
2021-12-23,0.37208802
2021-12-24,0.37153998
2021-12-25,0.37244108
2021-12-26,0.37535337
2021-12-27,0.37973127
2021-12-28,0.3832255
2021-12-29,0.38569218
2021-12-30,0.38536036
2021-12-31,0.38329613
2022-01-01,0.38511455
2022-01-02,0.39154458
2022-01-03,0.3905547
2022-01-04,0.39229915
2022-01-05,0.39415672
2022-01-06,0.39464882
2022-01-07,0.39521587
2022-01-08,0.39388064
2022-01-09,0.3934006
2022-01-10,0.39156446
2022-01-11,0.38829067
2022-01-12,0.38136905
2022-01-13,0.37601137
2022-01-14,0.3709187
2022-01-15,0.36939448
2022-01-16,0.36883873
2022-01-17,0.36682037
2022-01-18,0.36659038
2022-01-19,0.36547744
2022-01-20,0.36377844
2022-01-21,0.3642661
2022-01-22,0.36751312
2022-01-23,0.36971974
2022-01-24,0.3686857
2022-01-25,0.3643326
2022-01-26,0.3613586
2022-01-27,0.35997617
2022-01-28,0.35843414
2022-01-29,0.3563048
2022-01-30,0.35593763
2022-01-31,0.35596806
2022-02-01,0.35644156
2022-02-02,0.3587861
2022-02-03,0.36017993
2022-02-04,0.35904852
2022-02-05,0.35689634
2022-02-06,0.3552654
2022-02-07,0.35280427
2022-02-08,0.35429186
2022-02-09,0.3529694
2022-02-10,0.3508064
2022-02-11,0.34834146
2022-02-12,0.34618765
2022-02-13,0.34174716
2022-02-14,0.33749455
2022-02-15,0.33461505
2022-02-16,0.33275437
2022-02-17,0.33239314
2022-02-18,0.33222708
2022-02-19,0.33217877
2022-02-20,0.33132017
2022-02-21,0.33010584
2022-02-22,0.32946894
2022-02-23,0.32893336
2022-02-24,0.328455
2022-02-25,0.32853886
2022-02-26,0.32967973
2022-02-27,0.3276991
2022-02-28,0.3276566
2022-03-01,0.329411
2022-03-02,0.32705674
2022-03-03,0.32860363
2022-03-04,0.32939297
2022-03-05,0.32872102
2022-03-06,0.3266612
2022-03-07,0.32605582
2022-03-08,0.32566416
2022-03-09,0.32457134
2022-03-10,0.32213688
2022-03-11,0.3169233
2022-03-12,0.3131424
2022-03-13,0.30752444
2022-03-14,0.30502245
2022-03-15,0.30258745
2022-03-16,0.3024057
2022-03-17,0.30128634
2022-03-18,0.29733586
2022-03-19,0.29410982
2022-03-20,0.28896403
2022-03-21,0.2843153
2022-03-22,0.2805881
2022-03-23,0.27675715
2022-03-24,0.2724311
2022-03-25,0.2694539
2022-03-26,0.26714757
2022-03-27,0.26681632
2022-03-28,0.26699072
2022-03-29,0.26761043
2022-03-30,0.26882684
2022-03-31,0.2705792
2022-04-01,0.27288297
2022-04-02,0.2759635
2022-04-03,0.27843696
2022-04-04,0.277753
2022-04-05,0.27876684
2022-04-06,0.278472
2022-04-07,0.27945048
2022-04-08,0.28326178
2022-04-09,0.28408515
2022-04-10,0.28611624
2022-04-11,0.28934735
2022-04-12,0.29173386
2022-04-13,0.29294887
2022-04-14,0.29710126
2022-04-15,0.30061692
2022-04-16,0.3007483
2022-04-17,0.30240545
2022-04-18,0.30503428
2022-04-19,0.30367225
2022-04-20,0.30428183
2022-04-21,0.30570087
2022-04-22,0.30604786
2022-04-23,0.30579403
2022-04-24,0.30469182
2022-04-25,0.30372128
2022-04-26,0.30311668
2022-04-27,0.302633
2022-04-28,0.30340713
2022-04-29,0.30359018
2022-04-30,0.30297065
2022-05-01,0.30214483
2022-05-02,0.30342397
2022-05-03,0.30326572
2022-05-04,0.3061439
2022-05-05,0.3085466
2022-05-06,0.30814025
2022-05-07,0.30738986
2022-05-08,0.30660123
2022-05-09,0.3061217
2022-05-10,0.30569088
2022-05-11,0.30601424
2022-05-12,0.30671945
2022-05-13,0.30793953
2022-05-14,0.30954874
2022-05-15,0.31065798
2022-05-16,0.31035912
2022-05-17,0.31155583
2022-05-18,0.3139496
2022-05-19,0.3141801
2022-05-20,0.31313273
2022-05-21,0.3147596
2022-05-22,0.3171603
2022-05-23,0.3197262
2022-05-24,0.32349923
2022-05-25,0.32602394
2022-05-26,0.32633135
2022-05-27,0.32813954
2022-05-28,0.33018425
2022-05-29,0.33179173
2022-05-30,0.3306176
2022-05-31,0.33150792
2022-06-01,0.33160898
2022-06-02,0.33288908
2022-06-03,0.3345678
2022-06-04,0.33509865
2022-06-05,0.33390012
2022-06-06,0.33632317
2022-06-07,0.33819926
2022-06-08,0.3397654
2022-06-09,0.34443432
2022-06-10,0.34692776
2022-06-11,0.3487724
2022-06-12,0.35278806
2022-06-13,0.35074976
2022-06-14,0.3513964
2022-06-15,0.3514655
2022-06-16,0.3510849
2022-06-17,0.3516544
2022-06-18,0.35159874
2022-06-19,0.35280907
2022-06-20,0.3531007
2022-06-21,0.3560184
2022-06-22,0.35761777
2022-06-23,0.35766536
2022-06-24,0.36152294
2022-06-25,0.36848393
2022-06-26,0.37368122
2022-06-27,0.3819383
2022-06-28,0.38582423
2022-06-29,0.3860044
2022-06-30,0.3862293
2022-07-01,0.3865244
2022-07-02,0.38653386
2022-07-03,0.3849438
2022-07-04,0.38360155
2022-07-05,0.3843605
2022-07-06,0.38490108
2022-07-07,0.38601482
2022-07-08,0.38550743
2022-07-09,0.38421938
2022-07-10,0.38417214
2022-07-11,0.38489586
2022-07-12,0.38391614
2022-07-13,0.3830362
2022-07-14,0.38152447
2022-07-15,0.3813547
2022-07-16,0.3819555
2022-07-17,0.38410583
2022-07-18,0.38238624
2022-07-19,0.3780401
2022-07-20,0.37584153
2022-07-21,0.375181
2022-07-22,0.3742846
2022-07-23,0.3738874
2022-07-24,0.3740444
2022-07-25,0.37536922
2022-07-26,0.37577865
2022-07-27,0.3778461
2022-07-28,0.37819332
2022-07-29,0.3791658
2022-07-30,0.37937182
2022-07-31,0.37915042
2022-08-01,0.37904015
2022-08-02,0.37808785
2022-08-03,0.37647992
2022-08-04,0.37472683
2022-08-05,0.37441012
2022-08-06,0.3744535
2022-08-07,0.3730616
2022-08-08,0.37037444
2022-08-09,0.36749026
2022-08-10,0.3628326
2022-08-11,0.35799736
2022-08-12,0.35465184
2022-08-13,0.35317543
2022-08-14,0.3534366
2022-08-15,0.35388896
2022-08-16,0.3547049
2022-08-17,0.35552073
2022-08-18,0.3562587
2022-08-19,0.3572727
2022-08-20,0.35931483
2022-08-21,0.3592878
2022-08-22,0.35857219
2022-08-23,0.35745662
2022-08-24,0.3550009
2022-08-25,0.35199457
2022-08-26,0.3477371
2022-08-27,0.34579134
2022-08-28,0.34501627
2022-08-29,0.34563997
2022-08-30,0.34596488
2022-08-31,0.34564123
2022-09-01,0.34608966
2022-09-02,0.34303337
2022-09-03,0.342208
2022-09-04,0.33903268
2022-09-05,0.33227012
2022-09-06,0.32336244
2022-09-07,0.31455326
2022-09-08,0.31023204
2022-09-09,0.30870575
2022-09-10,0.30741224
2022-09-11,0.30844718
2022-09-12,0.31090394
2022-09-13,0.31617475
2022-09-14,0.31758305
2022-09-15,0.3171334
2022-09-16,0.3180361
2022-09-17,0.32156593
2022-09-18,0.32328093
2022-09-19,0.32109103
2022-09-20,0.32057616
2022-09-21,0.319384
2022-09-22,0.32343876
2022-09-23,0.32969594
2022-09-24,0.3317274
2022-09-25,0.3326966
2022-09-26,0.33199587
2022-09-27,0.33398363
2022-09-28,0.33778328
2022-09-29,0.3409004
2022-09-30,0.343288
2022-10-01,0.34494337
2022-10-02,0.3470198
2022-10-03,0.3494688
2022-10-04,0.35094172
2022-10-05,0.35174462
2022-10-06,0.3491
2022-10-07,0.3461121
2022-10-08,0.3434658
2022-10-09,0.34321958
2022-10-10,0.3447815
2022-10-11,0.34209538
2022-10-12,0.33913782
2022-10-13,0.337599
2022-10-14,0.33386344
2022-10-15,0.32908374
2022-10-16,0.3243699
2022-10-17,0.31965435
2022-10-18,0.31495956
2022-10-19,0.31201395
2022-10-20,0.30958107
2022-10-21,0.30543518
2022-10-22,0.30315676
2022-10-23,0.30285624
2022-10-24,0.30415905
2022-10-25,0.30502808
2022-10-26,0.3056211
2022-10-27,0.30595833
2022-10-28,0.3068227
2022-10-29,0.30638644
2022-10-30,0.3057549
2022-10-31,0.3075998
2022-11-01,0.30648613
2022-11-02,0.30647796
2022-11-03,0.30617
2022-11-04,0.30819982
2022-11-05,0.30846733
2022-11-06,0.3082248
2022-11-07,0.30462092
2022-11-08,0.30108136
2022-11-09,0.29954976
2022-11-10,0.29916105
2022-11-11,0.29968107
2022-11-12,0.29915196
2022-11-13,0.29787198
2022-11-14,0.29683495
2022-11-15,0.29616165
2022-11-16,0.2957737
2022-11-17,0.29829064
2022-11-18,0.3045572
2022-11-19,0.30922365
2022-11-20,0.3134485
2022-11-21,0.31735256
2022-11-22,0.32179078
2022-11-23,0.32366145
2022-11-24,0.3271657
2022-11-25,0.33201554
2022-11-26,0.3341262
2022-11-27,0.33470958
2022-11-28,0.33347633
2022-11-29,0.33195138
2022-11-30,0.3294071
2022-12-01,0.32712755
2022-12-02,0.32651353
2022-12-03,0.32624227
2022-12-04,0.32490948
2022-12-05,0.3234739
2022-12-06,0.32125652
2022-12-07,0.32084396
2022-12-08,0.32136187
2022-12-09,0.32391322
2022-12-10,0.32699448
2022-12-11,0.33141395
2022-12-12,0.33779138
2022-12-13,0.34160075
2022-12-14,0.34180674
2022-12-15,0.34513915
2022-12-16,0.34960458
2022-12-17,0.35100362
2022-12-18,0.35332116
2022-12-19,0.35333416
2022-12-20,0.34755814
2022-12-21,0.3449715
2022-12-22,0.34338647
2022-12-23,0.3427671
2022-12-24,0.3428452
2022-12-25,0.34405214
2022-12-26,0.3465726
2022-12-27,0.34798935
2022-12-28,0.34970742
2022-12-29,0.3494008
2022-12-30,0.34960696
2022-12-31,0.350351
2023-01-01,0.3512734
2023-01-02,0.35174438
2023-01-03,0.35228708
2023-01-04,0.35223207
2023-01-05,0.35101986
2023-01-06,0.35250726
2023-01-07,0.35467994
2023-01-08,0.35378298
2023-01-09,0.35127163
2023-01-10,0.34934038
2023-01-11,0.3484528
2023-01-12,0.34542426
2023-01-13,0.34140882
