time,temperature_C
2022-06-01,19.374306
2022-06-02,19.77794
2022-06-03,19.615078
2022-06-04,19.50302
2022-06-05,20.0568
2022-06-06,20.239666
2022-06-07,20.376978
2022-06-08,20.686874
2022-06-09,21.154459
2022-06-10,21.434452
2022-06-11,21.592749
2022-06-12,21.504862
2022-06-13,21.498913
2022-06-14,21.976578
2022-06-15,21.959356
2022-06-16,22.104141
2022-06-17,22.310827
2022-06-18,22.436607
2022-06-19,22.57288
2022-06-20,22.85508
2022-06-21,22.968641
2022-06-22,22.472937
2022-06-23,22.015162
2022-06-24,21.866045
2022-06-25,21.85648
2022-06-26,21.849184
2022-06-27,21.899418
2022-06-28,22.030401
2022-06-29,22.471647
2022-06-30,22.82642
2022-07-01,23.117743
2022-07-02,23.153349
2022-07-03,23.11093
2022-07-04,23.45425
2022-07-05,23.84457
2022-07-06,24.151346
2022-07-07,24.488892
2022-07-08,24.727995
2022-07-09,24.963335
2022-07-10,24.621763
2022-07-11,24.316414
2022-07-12,24.428804
2022-07-13,24.462122
2022-07-14,24.339252
2022-07-15,24.492008
2022-07-16,24.628347
2022-07-17,24.732996
2022-07-18,24.345053
2022-07-19,24.014627
2022-07-20,24.04314
2022-07-21,24.039818
2022-07-22,24.110394
2022-07-23,24.253662
2022-07-24,24.486885
2022-07-25,24.738396
2022-07-26,24.99243
2022-07-27,25.244793
2022-07-28,25.322819
2022-07-29,25.413317
2022-07-30,25.572083
2022-07-31,25.821983
2022-08-01,26.018307
2022-08-02,26.166033
2022-08-03,26.215458
2022-08-04,26.32923
2022-08-05,26.430708
2022-08-06,26.538445
2022-08-07,26.435911
2022-08-08,26.427103
2022-08-09,26.4289
2022-08-10,26.423054
2022-08-11,26.337486
2022-08-12,26.422379
2022-08-13,26.591244
2022-08-14,26.773973
2022-08-15,26.766932
2022-08-16,26.747515
2022-08-17,26.930683
2022-08-18,27.081856
2022-08-19,27.09415
2022-08-20,27.228495
2022-08-21,27.294464
2022-08-22,27.426182
2022-08-23,27.496565
2022-08-24,27.444012
2022-08-25,27.261154
2022-08-26,27.305298
2022-08-27,27.38611
2022-08-28,27.523249
2022-08-29,27.59389
2022-08-30,27.586645
2022-08-31,27.579027
2022-09-01,27.54685
2022-09-02,27.213642
2022-09-03,26.947302
2022-09-04,26.446909
2022-09-05,25.788029
2022-09-06,25.089956
2022-09-07,24.472631
2022-09-08,24.239597
2022-09-09,24.088593
2022-09-10,23.998308
2022-09-11,24.073801
2022-09-12,23.992077
2022-09-13,23.781073
2022-09-14,23.517887
2022-09-15,23.501408
2022-09-16,23.464428
2022-09-17,23.563984
2022-09-18,23.495058
2022-09-19,23.171917
2022-09-20,23.02326
2022-09-21,22.795588
2022-09-22,22.4767
2022-09-23,22.150394
2022-09-24,21.809206
2022-09-25,21.62231
2022-09-26,21.507559
2022-09-27,21.505138
2022-09-28,21.494955
2022-09-29,21.665777
2022-09-30,21.803484
2022-10-01,21.920376
2022-10-02,21.706787
2022-10-03,21.42176
2022-10-04,21.2432
2022-10-05,21.10129
2022-10-06,20.912659
2022-10-07,20.841497
2022-10-08,20.680458
2022-10-09,20.621677
2022-10-10,20.361088
2022-10-11,20.10849
2022-10-12,19.919226
2022-10-13,19.766563
2022-10-14,19.563847
2022-10-15,19.334894
2022-10-16,19.167189
2022-10-17,19.02407
2022-10-18,18.895704
2022-10-19,18.822754
2022-10-20,18.568884
2022-10-21,18.218971
2022-10-22,18.050625
2022-10-23,17.966646
2022-10-24,17.865824
2022-10-25,17.861725
2022-10-26,17.787395
2022-10-27,17.686821
2022-10-28,17.5728
2022-10-29,17.50782
2022-10-30,17.424473
2022-10-31,17.379673
2022-11-01,17.187904
2022-11-02,17.073818
2022-11-03,16.953293
2022-11-04,16.880028
2022-11-05,16.790726
2022-11-06,16.60776
2022-11-07,16.393751
2022-11-08,16.224583
2022-11-09,16.086222
2022-11-10,16.018433
2022-11-11,15.962103
2022-11-12,15.887563
2022-11-13,15.787344
2022-11-14,15.688149
2022-11-15,15.575606
2022-11-16,15.53705
2022-11-17,15.430758
2022-11-18,15.366699
2022-11-19,15.293948
2022-11-20,15.268718
2022-11-21,15.237223
2022-11-22,15.146402
2022-11-23,15.021811
2022-11-24,15.0693445
2022-11-25,14.945851
2022-11-26,14.756961
2022-11-27,14.507717
2022-11-28,14.342697
2022-11-29,14.205158
2022-11-30,14.084392
2022-12-01,13.957367
2022-12-02,13.85651
2022-12-03,13.706775
2022-12-04,13.530557
2022-12-05,13.350344
2022-12-06,13.224861
2022-12-07,13.133875
2022-12-08,13.079667
2022-12-09,13.030467
2022-12-10,13.012244
2022-12-11,12.968732
2022-12-12,12.966677
2022-12-13,12.842636
2022-12-14,12.689991
2022-12-15,12.573286
2022-12-16,12.570974
2022-12-17,12.542406
2022-12-18,12.5314865
2022-12-19,12.31086
2022-12-20,12.068113
2022-12-21,11.942737
2022-12-22,11.848758
2022-12-23,11.784001
2022-12-24,11.702072
2022-12-25,11.650544
2022-12-26,11.589264
2022-12-27,11.500961
2022-12-28,11.415426
2022-12-29,11.300063
2022-12-30,11.270265
2022-12-31,11.239984
2023-01-01,11.19953
2023-01-02,11.17593
2023-01-03,11.1355915
2023-01-04,11.086234
2023-01-05,11.04967
2023-01-06,10.988159
2023-01-07,10.899852
2023-01-08,10.756357
2023-01-09,10.630642
2023-01-10,10.545381
2023-01-11,10.450593
2023-01-12,10.36543
2023-01-13,10.258366
2023-01-14,10.184328
2023-01-15,10.165395
2023-01-16,10.124121
2023-01-17,10.118358
2023-01-18,10.136612
2023-01-19,10.158207
2023-01-20,10.179368
2023-01-21,10.210154
2023-01-22,10.192581
2023-01-23,10.1254225
2023-01-24,10.044192
2023-01-25,9.999072
2023-01-26,9.929568
2023-01-27,9.923127
2023-01-28,9.883895
2023-01-29,9.779893
2023-01-30,9.647505
2023-01-31,9.558079
2023-02-01,9.473674
2023-02-02,9.389549
2023-02-03,9.316118
2023-02-04,9.254284
2023-02-05,9.206522
2023-02-06,9.098041
2023-02-07,8.923313
2023-02-08,8.747632
2023-02-09,8.607721
2023-02-10,8.512061
2023-02-11,8.444683
2023-02-12,8.369363
2023-02-13,8.304546
2023-02-14,8.235038
2023-02-15,8.182337
2023-02-16,8.123029
2023-02-17,8.077129
2023-02-18,8.096319
2023-02-19,8.135053
2023-02-20,8.139289
2023-02-21,8.131791
2023-02-22,8.198242
2023-02-23,8.153841
2023-02-24,8.110583
2023-02-25,8.154551
2023-02-26,8.1949215
2023-02-27,8.228471
2023-02-28,8.24842
2023-03-01,8.225215
2023-03-02,8.183473
2023-03-03,8.193706
2023-03-04,8.208011
2023-03-05,8.283356
2023-03-06,8.337543
2023-03-07,8.3765955
2023-03-08,8.539465
2023-03-09,8.6576605
2023-03-10,8.724871
2023-03-11,8.741849
2023-03-12,8.755522
2023-03-13,8.699766
2023-03-14,8.740249
2023-03-15,8.768642
2023-03-16,8.859159
2023-03-17,8.844919
2023-03-18,8.872263
2023-03-19,8.867666
2023-03-20,8.875388
2023-03-21,8.93597
2023-03-22,9.011655
2023-03-23,9.125588
2023-03-24,9.231828
2023-03-25,9.252346
2023-03-26,9.319098
2023-03-27,9.385999
2023-03-28,9.294538
2023-03-29,9.163145
2023-03-30,9.046123
2023-03-31,9.0318775
2023-04-01,9.103859
2023-04-02,9.223642
2023-04-03,9.372543
2023-04-04,9.372684
2023-04-05,9.452035
2023-04-06,9.482878
2023-04-07,9.570817
2023-04-08,9.756793
2023-04-09,9.916972
2023-04-10,9.896603
2023-04-11,9.899544
2023-04-12,10.018354
2023-04-13,10.187491
2023-04-14,10.433552
2023-04-15,10.66699
2023-04-16,10.787366
2023-04-17,10.931974
2023-04-18,11.136791
2023-04-19,11.375438
2023-04-20,11.39152
2023-04-21,11.461408
2023-04-22,11.583767
2023-04-23,12.021425
2023-04-24,12.198339
2023-04-25,12.222391
2023-04-26,12.349458
2023-04-27,12.3566065
2023-04-28,12.213481
2023-04-29,12.167075
2023-04-30,12.198261
2023-05-01,12.324503
2023-05-02,12.602608
2023-05-03,12.7737665
2023-05-04,12.868715
2023-05-05,13.1099615
2023-05-06,13.124978
2023-05-07,13.12162
2023-05-08,13.202638
2023-05-09,13.290121
2023-05-10,13.331809
2023-05-11,13.477235
2023-05-12,13.454612
2023-05-13,13.812013
2023-05-14,14.16119
2023-05-15,14.483048
2023-05-16,14.639
2023-05-17,14.772355
2023-05-18,14.913228
2023-05-19,15.102428
2023-05-20,15.254177
2023-05-21,15.515724
2023-05-22,15.847021
2023-05-23,16.307714
