time,nitrate,phosphate
2022-06-01,2.5345101,0.22313398
2022-06-02,2.7217097,0.22132157
2022-06-03,2.5386689,0.22021572
2022-06-04,2.2925715,0.22431023
2022-06-05,2.4283547,0.2281167
2022-06-06,2.2214854,0.22743997
2022-06-07,2.1500752,0.23006064
2022-06-08,2.2765396,0.23169413
2022-06-09,2.3329384,0.23004879
2022-06-10,2.4181652,0.2261889
2022-06-11,2.3877769,0.22485371
2022-06-12,2.121902,0.22435375
2022-06-13,2.0925608,0.23102255
2022-06-14,2.2189176,0.23474889
2022-06-15,2.0837684,0.23311532
2022-06-16,2.3417547,0.23292379
2022-06-17,2.5491679,0.22727959
2022-06-18,2.4224637,0.22167312
2022-06-19,2.360801,0.22003376
2022-06-20,2.5340962,0.21980314
2022-06-21,2.6233978,0.21515135
2022-06-22,2.0993185,0.21951641
2022-06-23,1.951661,0.22712441
2022-06-24,1.9509977,0.22826923
2022-06-25,1.9304159,0.22876015
2022-06-26,2.0226567,0.22900051
2022-06-27,2.0177026,0.22821048
2022-06-28,1.9437051,0.2275162
2022-06-29,2.0398161,0.22605175
2022-06-30,2.1960447,0.22221312
2022-07-01,2.2201853,0.22078896
2022-07-02,2.217285,0.22185446
2022-07-03,2.2292924,0.22441898
2022-07-04,2.411567,0.22142138
2022-07-05,2.5824535,0.21783572
2022-07-06,2.6302853,0.2161002
2022-07-07,2.3280804,0.21584359
2022-07-08,2.0793533,0.21554826
2022-07-09,1.9160193,0.21442412
2022-07-10,1.7044351,0.21452604
2022-07-11,1.704465,0.21753977
2022-07-12,1.8131617,0.21648279
2022-07-13,1.9136256,0.21312481
2022-07-14,1.8908325,0.21177047
2022-07-15,2.0440621,0.2093328
2022-07-16,2.1338227,0.20870486
2022-07-17,2.0090783,0.2079777
2022-07-18,1.6589789,0.21377715
2022-07-19,1.7033068,0.21700141
2022-07-20,1.7738229,0.21578701
2022-07-21,1.6738769,0.21450949
2022-07-22,1.7059888,0.21373118
2022-07-23,1.7602515,0.21183474
2022-07-24,1.8282757,0.20841713
2022-07-25,1.8451531,0.20490578
